CVEGEO,$CO$,$HCHO$,$NO_2$,$O_3$,$SO_2$,NOM_ENT,NOM_MUN,NOM_LOC,POB_TOTAL,GM_2020
0600900010592,1.7101479361120597,0.010439467715963175,0.004495374852721888,8.942468135807534,0.0039850250800587865,Colima,Tecomán,Tecomán,2181,4
0600900010639,2.988466016769795,0.018397036301836332,0.007666040558304075,15.794377870461732,0.008850465077055612,Colima,Tecomán,Tecomán,2807,4
0600900010696,4.040287976138738,0.024165034627137778,0.010421440601043943,21.259967135601023,0.010913788461959185,Colima,Tecomán,Tecomán,1741,3
0600900010709,0.6028697538265848,0.0036650570040881653,0.0015733369491725737,3.155723497054655,0.001338210710176562,Colima,Tecomán,Tecomán,662,3
0600900010732,0.9375601721521188,0.005719794130599367,0.002446876789560891,4.907244857437071,0.0020182277579285745,Colima,Tecomán,Tecomán,1125,4
0600900010747,0.16768642064398598,0.001033190796612995,0.00044321691247237144,0.8768428465697745,0.00039331815452940254,Colima,Tecomán,Tecomán,192,5
0600900010766,2.111919526501728,0.01305579407583846,0.005582275092473322,11.049384584682649,0.004889651058363526,Colima,Tecomán,Tecomán,1975,4
0600900010770,0.36793649591795713,0.0023123997928977246,0.0009727116787283469,1.9302744431142955,0.0007959918851289274,Colima,Tecomán,Tecomán,402,4
0600900010785,0.20069263413706723,0.0012613089779442133,0.0005305700065790983,1.0528769689714337,0.0004341773918885059,Colima,Tecomán,Tecomán,307,5
060090001079A,0.3345814001240787,0.0020727493285851734,0.0008766539132498353,1.7521664151636638,0.0006802093363132331,Colima,Tecomán,Tecomán,491,4
0600900010802,0.13384861888888247,0.0008240541940646095,0.00034935366283444917,0.7004159603873978,0.0002646403659251315,Colima,Tecomán,Tecomán,201,4
0600900010817,0.2341414064932452,0.0014715271409349157,0.000618998341008948,1.228356463800006,0.0005065402905365902,Colima,Tecomán,Tecomán,302,4
0600900010836,0.8027705365482708,0.005045235911776853,0.0021222800263163933,4.2115078758857365,0.0017367095675540237,Colima,Tecomán,Tecomán,923,3
0600900010855,0.8656879160473445,0.005264136145342857,0.0022301155511339596,4.566682835491155,0.002517019528324628,Colima,Tecomán,Tecomán,908,3
060090001086A,6.7134181352627875,0.0429741696453415,0.018362041521327876,35.576876784084725,0.019046865272064686,Colima,Tecomán,Tecomán,217,2
0600900010889,1.1038094877538727,0.006937199378693155,0.002918135036185041,5.790823329342888,0.0023879756553867827,Colima,Tecomán,Tecomán,1225,3
0600900010893,0.16724386178088926,0.0010510908149535111,0.0004421416721492486,0.8773974741428612,0.00036181449324042156,Colima,Tecomán,Tecomán,193,4
0600900010906,1.5759697630888958,0.009703399622835602,0.004174940195439837,8.241725573115302,0.003804986964940067,Colima,Tecomán,Tecomán,1166,4
0600900010910,1.5762966099397833,0.009710203486328003,0.004166346501272604,8.242267294998577,0.003700341018705243,Colima,Tecomán,Tecomán,1135,4
0600900010925,2.875297451479425,0.01788521443877409,0.007717021479863702,15.081174117028015,0.007702381971109347,Colima,Tecomán,Tecomán,2832,4
060090001093A,3.2265425013344116,0.02052044460842355,0.008744267604853544,17.00250185297348,0.008383806943531165,Colima,Tecomán,Tecomán,914,5
