Estado,CVE Estado,Categoría,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Tabasco,27,Agropecuarias,Labranza,1044.310888,231.5237238,0,0,0,0,0
Tabasco,27,Agropecuarias,Quemas agrícolas,815.0146235,762.0396396,68.23736282,4214.283061,223.32161,371.4338539,84.30519985
Tabasco,27,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,1584.916131,0
Tabasco,27,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,5815.115409,0
Tabasco,27,Fuentes industriales ligeras y comerciales,Actividades de construcción,958.7352645,95.87352645,0,0,0,0,0
Tabasco,27,Fuentes industriales ligeras y comerciales,Asados al carbón,192.5084447,153.6409897,0,383.2591513,7.055031182,24.72872704,0
Tabasco,27,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,56.77229447,0
Tabasco,27,Fuentes misceláneas,Caminos pavimentados y no pavimentados,400.0528771,91.41374114,0,0,0,0,0
Tabasco,27,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,2938.453218
Tabasco,27,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,1.90871,0
Tabasco,27,Fuentes misceláneas,Incendios en construcción,0.129750803,0.121166156,0,2.060315208,0.049055124,0.127788598,0
Tabasco,27,Fuentes misceláneas,Incendios forestales,534.7993376,453.8337008,49.00551699,5309.641232,157.6699242,370.7373894,53.26686629
Tabasco,27,Fuentes misceláneas,Ladrilleras,34.32493503,31.32274188,2.83680144,6.7744512,1.56659184,0.76212576,0
Tabasco,27,Manejo de Residuos,Aguas residuales,0,0,0,0,0,1950.772468,0
Tabasco,27,Manejo de Residuos,Quema de residuos a cielo abierto,19.74161444,18.0791627,0.519516169,44.1588744,3.117097017,4.444980346,0
Tabasco,27,Manejo de Residuos,Rellenos sanitarios,0,0,0,6.593043569,0,349.5922653,0
Tabasco,27,Quema de combustibles en fuentes estacionarias,Combustión agrícola,1.9791E-05,1.51131E-05,5.98227E-08,0.004497946,0.016192607,0.000641407,0.000508268
Tabasco,27,Quema de combustibles en fuentes estacionarias,Combustión comercial,0.380367782,0.380367782,0.013628636,3.123858009,5.466519216,0.19169794,0.000186966
Tabasco,27,Quema de combustibles en fuentes estacionarias,Combustión doméstica,4893.897551,4712.455306,140.1358595,57124.46788,1905.405929,12569.41494,0.059232193
Tabasco,27,Quema de combustibles en fuentes estacionarias,Combustión industrial,0.01209959,0.01209959,0.000429522,0.099106689,0.17400411,0.006077535,0
Tabasco,27,Uso de Solventes,Artes gráficas,0,0,0,0,0,682.8868137,0
Tabasco,27,Uso de Solventes,Asfaltado,0,0,0,0,0,188.0809395,0
Tabasco,27,Uso de Solventes,Lavado en seco,0,0,0,0,0,192.6093242,0
Tabasco,27,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,265.2608209,0
Tabasco,27,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,399.6447801,0
Tabasco,27,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,155.1373396,0
Tabasco,27,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,824.4417716,0
Tabasco,27,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,343.5386614,0
Tabasco,27,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,3635.026647,0
Tamaulipas,28,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,6125.157265
Tamaulipas,28,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,464.9939682,0
Tamaulipas,28,Agropecuarias,Corrales de engorda,186.5467704,21.30364118,0,0,0,0,0
Tamaulipas,28,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,3507.798165
Tamaulipas,28,Agropecuarias,Labranza,18194.17656,4033.648944,0,0,0,0,0
Tamaulipas,28,Agropecuarias,Quemas agrícolas,9299.877017,8868.896718,371.3901683,45595.02921,2459.876883,3751.254464,911.7371234
Tamaulipas,28,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,3352.99414,0
Tamaulipas,28,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,11763.70687,0
Tamaulipas,28,Fuentes industriales ligeras y comerciales,Actividades de construcción,305.7262569,30.57262569,0,0,0,0,0
Tamaulipas,28,Fuentes industriales ligeras y comerciales,Asados al carbón,286.4844206,228.6432161,0,570.3530361,10.49905381,36.80043777,0
Tamaulipas,28,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,121.9587238,0
Tamaulipas,28,Fuentes misceláneas,Caminos pavimentados y no pavimentados,668.2314192,161.6688917,0,0,0,0,0
Tamaulipas,28,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,5176.386709
Tamaulipas,28,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,1.69594,0
Tamaulipas,28,Fuentes misceláneas,Incendios en construcción,2.064081739,1.927516785,0,32.77558906,0.780371168,2.032866893,0
Tamaulipas,28,Fuentes misceláneas,Incendios forestales,54.97880247,46.6553213,5.038491445,545.8309458,16.21085491,38.11180641,5.475822875
Tamaulipas,28,Fuentes misceláneas,Ladrilleras,40.04575753,36.54319886,3.30960168,7.9035264,1.82769048,0.88914672,0
Tamaulipas,28,Manejo de Residuos,Aguas residuales,0,0,0,0,0,4085.251809,0
Tamaulipas,28,Manejo de Residuos,Quema de residuos a cielo abierto,2.874812744,2.63272325,0.075652967,6.43050219,0.453917802,0.647286785,0
Tamaulipas,28,Manejo de Residuos,Rellenos sanitarios,0,0,0,10.23738756,0,542.831466,0
Tamaulipas,28,Quema de combustibles en fuentes estacionarias,Combustión agrícola,0.864242615,0.864236019,0.030678761,7.085049843,12.45109773,0.434993106,0.000716698
Tamaulipas,28,Quema de combustibles en fuentes estacionarias,Combustión comercial,8.276410978,8.276410978,0.359472088,72.11659877,117.1743961,4.491794191,0.097446334
Tamaulipas,28,Quema de combustibles en fuentes estacionarias,Combustión doméstica,1569.79962,1512.641506,45.30479947,18237.85839,1007.08862,3974.719401,0.458250344
Tamaulipas,28,Quema de combustibles en fuentes estacionarias,Combustión industrial,6.931574371,1.828726543,0.370016141,35.35126013,137.4104719,1.452003337,5.371418767
Tamaulipas,28,Uso de Solventes,Artes gráficas,0,0,0,0,0,1130.295416,0
Tamaulipas,28,Uso de Solventes,Asfaltado,0,0,0,0,0,172.51258,0
Tamaulipas,28,Uso de Solventes,Lavado en seco,0,0,0,0,0,415.1889789,0
Tamaulipas,28,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,7879.153565,0
Tamaulipas,28,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,851.2170891,0
Tamaulipas,28,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,146.935061,0
Tamaulipas,28,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,1775.387759,0
Tamaulipas,28,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,659.1419103,0
Tamaulipas,28,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,8422.59666,0
Tlaxcala,29,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,3314.650571
