CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,008,San José de Gracia,Locomotoras de recorrido,0,0,0,0,0,0,0
01,Aguascalientes,008,San José de Gracia,Maquinaria agrícola,1.53882189,1.492657233,0.307205319,9.15692419,12.07900042,1.527287785,0
01,Aguascalientes,008,San José de Gracia,Motocicletas,0.058042446,0.051345935,0.15999106,40.11753378,1.952520177,3.307452475,0.105257182
01,Aguascalientes,008,San José de Gracia,Pickup y Veh<3.8Ton,0.491716456,0.438893927,0.691267921,150.1367215,25.88564884,14.3358502,0.190479916
01,Aguascalientes,008,San José de Gracia,Taxi,0.001072416,0.000946801,0.022040778,1.707828451,0.524795875,0.134003281,0.005088352
01,Aguascalientes,008,San José de Gracia,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,008,San José de Gracia,Tractocamión,0.232713722,0.214093781,0.031733465,0.391671273,0.974409674,0.073210267,0.002230997
01,Aguascalientes,008,San José de Gracia,Veh>3.8Ton,2.043089625,1.879180556,0.277203501,10.39607703,8.909475655,1.166777383,0.023088364
01,Aguascalientes,009,Tepezalá,Autobús,0.475105306,0.437090612,0.094883265,1.624287347,4.194380408,0.242194286,0.005012245
01,Aguascalientes,009,Tepezalá,Autos particulares,0.372502712,0.329558845,0.662211482,144.2370465,26.86122301,17.73409811,0.221759937
01,Aguascalientes,009,Tepezalá,Camionetas particulares,0.102158127,0.090373531,0.249681952,48.48279879,9.74412092,5.377711978,0.06778639
01,Aguascalientes,009,Tepezalá,Combi,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Locomotoras de patio,0,0,0,0,0,0,0
