SECTOR,CVE_ENT_1,ENTFED,PM10,PM2.5,SOX,CO,NOX,COV,NH3
Madera,10,Durango,66.40511061,61.61817022,15.37157971,840.7378874,93.79945081,2475.093634,36.67405836
Madera,13,Hidalgo,0.0007104,0.0007104,0.0011848,0.0075424,0.0132424,0.0009976,0
Madera,14,Jalisco,2.1165,1.9103,0.01910655,3.5329,0.7433,32.422849,0
Madera,15,México,38.82934308,27.0880269,0.041608546,1.798399371,3.993646376,304.4476623,0.220719775
Madera,16,Michoacán de Ocampo,78.85351,66.427876,5.117300311,119.3008,66.751,4.075967,0.346
Madera,21,Puebla,0.0046,0.0046,0,0.026,0.1531,0.0026,0
Madera,22,Querétaro,0.0043,0.0043,0.000002592,0.0242,0.1426,10.8214,0
Madera,26,Sonora,0.005,0.005,0.0004,0.0558,0.0664,0.0037,0.0021
Madera,28,Tamaulipas,0.4819,0.4203,1.40E-06,0.013,0.0767,7.408692,0
Manejo de desechos y remediación,1,Aguascalientes,0.886653662,0.578232262,15.24006973,0.185,1.5301,10.815,0.0211
